Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,130.64999389648438,130.69000244140625,127.68000030517578,128.41000366210938,128.41000366210938,89500
2021-01-05,128.0,132.3000030517578,127.77999877929688,131.63999938964844,131.63999938964844,111100
2021-01-06,133.80999755859375,140.52999877929688,132.8699951171875,138.52999877929688,138.52999877929688,200100
2021-01-07,139.7100067138672,142.0500030517578,137.35000610351562,141.94000244140625,141.94000244140625,149900
2021-01-08,142.7899932861328,143.1300048828125,136.66000366210938,139.0,139.0,126400
2021-01-11,137.10000610351562,141.0399932861328,137.10000610351562,139.24000549316406,139.24000549316406,86100
2021-01-12,140.38999938964844,145.02999877929688,139.25,144.85000610351562,144.85000610351562,84200
2021-01-13,144.80999755859375,144.80999755859375,141.1199951171875,141.61000061035156,141.61000061035156,100100
2021-01-14,143.22000122070312,147.83999633789062,142.0500030517578,146.8699951171875,146.8699951171875,117700
2021-01-15,144.10000610351562,145.19000244140625,140.97000122070312,141.72000122070312,141.72000122070312,122100
2021-01-19,143.08999633789062,145.4199981689453,141.52999877929688,144.17999267578125,144.17999267578125,91200
2021-01-20,145.11000061035156,146.72999572753906,143.0399932861328,143.69000244140625,143.69000244140625,113300
2021-01-21,144.49000549316406,146.24000549316406,142.52999877929688,142.63999938964844,142.63999938964844,73200
2021-01-22,140.75999450683594,142.5500030517578,140.5,140.83999633789062,140.83999633789062,97000
2021-01-25,139.5399932861328,140.52999877929688,133.88999938964844,137.35000610351562,137.35000610351562,337000
2021-01-26,138.19000244140625,138.5,134.3800048828125,137.38999938964844,137.38999938964844,129300
2021-01-27,133.6199951171875,134.97999572753906,130.32000732421875,131.63999938964844,131.63999938964844,135000
2021-01-28,133.41000366210938,134.13999938964844,130.39999389648438,132.14999389648438,132.14999389648438,117200
2021-01-29,131.6300048828125,133.1999969482422,128.91000366210938,129.3800048828125,129.3800048828125,149100
2021-02-01,130.17999267578125,132.63999938964844,128.14999389648438,131.55999755859375,131.55999755859375,148700
2021-02-02,132.89999389648438,137.67999267578125,131.9199981689453,136.5,136.5,161300
2021-02-03,136.6300048828125,138.1699981689453,134.02000427246094,137.16000366210938,137.16000366210938,111900
2021-02-04,137.3699951171875,141.39999389648438,137.1199951171875,139.1999969482422,139.1999969482422,94400
2021-02-05,141.49000549316406,144.22000122070312,139.99000549316406,143.8699951171875,143.8699951171875,124300
2021-02-08,145.0399932861328,151.94000244140625,143.92999267578125,150.8800048828125,150.8800048828125,154200
2021-02-09,147.0,151.9199981689453,140.07000732421875,150.83999633789062,150.83999633789062,149100
2021-02-10,151.1300048828125,152.9600067138672,141.72999572753906,142.5,142.5,199000
2021-02-11,143.97999572753906,146.69000244140625,142.27999877929688,144.22999572753906,144.22999572753906,148200
2021-02-12,143.69000244140625,147.5800018310547,142.9600067138672,146.19000244140625,146.19000244140625,90800
