Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,18.549999237060547,18.549999237060547,17.981000900268555,18.062999725341797,17.94806480407715,6900
2021-01-05,18.43000030517578,19.100000381469727,18.43000030517578,18.892000198364258,18.77178955078125,5700
2021-01-06,19.1200008392334,19.27899932861328,19.1200008392334,19.27899932861328,19.156326293945312,400
2021-01-07,19.25,19.639999389648438,19.25,19.579999923706055,19.455411911010742,2100
2021-01-08,19.549999237060547,19.549999237060547,19.229999542236328,19.347000122070312,19.223894119262695,2000
2021-01-11,19.260000228881836,19.586000442504883,19.260000228881836,19.586000442504883,19.461374282836914,5500
2021-01-12,20.02899932861328,20.28499984741211,20.02899932861328,20.28499984741211,20.155925750732422,300
2021-01-13,20.299999237060547,20.299999237060547,20.246999740600586,20.246999740600586,20.118167877197266,400
2021-01-14,20.700000762939453,20.809999465942383,20.639999389648438,20.639999389648438,20.5086669921875,1200
2021-01-15,20.409000396728516,20.409000396728516,20.340999603271484,20.340999603271484,20.21156883239746,1300
2021-01-19,20.489999771118164,20.56999969482422,20.408000946044922,20.408000946044922,20.27814483642578,4000
2021-01-20,20.290000915527344,20.290000915527344,20.19499969482422,20.19499969482422,20.066497802734375,300
2021-01-21,19.989999771118164,19.989999771118164,19.799999237060547,19.81599998474121,19.689910888671875,4000
2021-01-22,19.549999237060547,19.6299991607666,19.3799991607666,19.6299991607666,19.50509262084961,23000
2021-01-25,19.5,19.506999969482422,19.360000610351562,19.506999969482422,19.382875442504883,3700
2021-01-26,19.43000030517578,19.43000030517578,19.334999084472656,19.386999130249023,19.263639450073242,900
2021-01-27,19.000999450683594,19.18899917602539,18.844999313354492,18.858999252319336,18.738998413085938,2400
2021-01-28,19.06999969482422,19.06999969482422,19.02199935913086,19.02199935913086,19.02199935913086,300
2021-01-29,19.079999923706055,19.079999923706055,18.75,18.79800033569336,18.79800033569336,1000
2021-02-01,19.389999389648438,19.389999389648438,18.969999313354492,18.969999313354492,18.969999313354492,600
2021-02-02,19.31999969482422,19.420000076293945,19.1560001373291,19.1560001373291,19.1560001373291,800
2021-02-03,19.360000610351562,19.499000549316406,19.360000610351562,19.499000549316406,19.499000549316406,700
2021-02-04,19.440000534057617,19.493999481201172,19.334999084472656,19.493999481201172,19.493999481201172,800
2021-02-05,19.694000244140625,19.704999923706055,19.690000534057617,19.704999923706055,19.704999923706055,1300
2021-02-08,19.700000762939453,20.099000930786133,19.700000762939453,20.075000762939453,20.075000762939453,8100
2021-02-09,19.969999313354492,20.018999099731445,19.92799949645996,19.92799949645996,19.92799949645996,1900
2021-02-10,20.010000228881836,20.06999969482422,20.010000228881836,20.06999969482422,20.06999969482422,300
2021-02-11,20.1299991607666,20.229999542236328,20.1299991607666,20.195999145507812,20.195999145507812,1700
2021-02-12,19.959999084472656,20.461999893188477,19.959999084472656,20.43000030517578,20.43000030517578,3000
