Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,4.860000133514404,5.039999961853027,4.659999847412109,4.849999904632568,4.849999904632568,685400
2021-01-05,4.71999979019165,5.420000076293945,4.71999979019165,5.349999904632568,5.349999904632568,1009900
2021-01-06,5.599999904632568,6.099999904632568,5.0,5.28000020980835,5.28000020980835,1941100
2021-01-07,5.599999904632568,6.199999809265137,5.300000190734863,6.059999942779541,6.059999942779541,2128700
2021-01-08,6.679999828338623,7.989999771118164,6.349999904632568,7.400000095367432,7.400000095367432,5002400
2021-01-11,6.320000171661377,7.400000095367432,6.28000020980835,7.239999771118164,7.239999771118164,1195200
2021-01-12,7.139999866485596,9.300000190734863,6.960000038146973,8.699999809265137,8.699999809265137,2364700
2021-01-13,8.34000015258789,8.5,7.599999904632568,7.940000057220459,7.940000057220459,1645300
2021-01-14,8.210000038146973,8.989999771118164,7.849999904632568,8.8100004196167,8.8100004196167,2449000
2021-01-15,9.640000343322754,15.569999694824219,9.640000343322754,11.520000457763672,11.520000457763672,38837300
2021-01-19,12.699999809265137,14.4399995803833,12.050000190734863,13.920000076293945,13.920000076293945,5928600
2021-01-20,13.460000038146973,14.680000305175781,12.180000305175781,12.960000038146973,12.960000038146973,2524700
2021-01-21,13.270000457763672,18.649999618530273,13.270000457763672,15.970000267028809,15.970000267028809,8807500
2021-01-22,16.959999084472656,24.899999618530273,16.709999084472656,23.600000381469727,23.600000381469727,17555700
2021-01-25,24.239999771118164,30.81999969482422,21.65999984741211,27.3799991607666,27.3799991607666,7578400
2021-01-26,26.520000457763672,27.239999771118164,23.1299991607666,25.1200008392334,25.1200008392334,3024500
2021-01-27,22.399999618530273,25.290000915527344,20.799999237060547,23.0,23.0,1966100
2021-01-28,22.100000381469727,23.0,15.680000305175781,18.780000686645508,18.780000686645508,2857800
2021-01-29,20.309999465942383,20.950000762939453,17.56999969482422,19.559999465942383,19.559999465942383,1255500
2021-02-01,20.010000228881836,20.3799991607666,17.020000457763672,18.190000534057617,18.190000534057617,1334200
2021-02-02,18.5,18.780000686645508,16.799999237060547,17.639999389648438,17.639999389648438,1171500
2021-02-03,17.729999542236328,22.420000076293945,17.639999389648438,21.100000381469727,21.100000381469727,3698300
2021-02-04,21.850000381469727,24.200000762939453,20.559999465942383,21.139999389648438,21.139999389648438,2660100
2021-02-05,21.09000015258789,21.290000915527344,19.290000915527344,20.219999313354492,20.219999313354492,1319000
2021-02-08,20.489999771118164,21.040000915527344,18.399999618530273,19.280000686645508,19.280000686645508,3475500
2021-02-09,18.729999542236328,20.5,18.299999237060547,19.5,19.5,2260000
2021-02-10,20.3700008392334,21.799999237060547,18.700000762939453,19.25,19.25,2972400
2021-02-11,19.309999465942383,19.5,17.299999237060547,18.34000015258789,18.34000015258789,1257500
2021-02-12,18.18000030517578,18.270000457763672,17.40999984741211,18.190000534057617,18.190000534057617,611900
